Alfred Binet	wn31-10870878-n
Helen Hunt Jackson	wn31-11096349-n
Corsica	wn31-08961668-n
Burlington, Vermont	wn31-09171411-n
Maitreya	wn31-09555664-n
Fortuna	wn31-09596583-n
First Battle of Bull Run	wn31-01275984-n
Sri Lanka	wn31-08736933-n
Nassau, Bahamas	wn31-08866562-n
Lebanon	wn31-08977154-n
Henry Percy (Hotspur)	wn31-11249489-n
Netherlands	wn31-08968866-n
Epistle to Titus	wn31-06457659-n
Johann Gottfried Herder	wn31-11064784-n
Jean Cocteau	wn31-10923859-n
John Singleton Copley	wn31-10929828-n
Fred Astaire	wn31-10845956-n
Rama	wn31-09553999-n
Hawaiʻi Volcanoes National Park	wn31-08623419-n
Piet Mondrian	wn31-11205165-n
Auvergne (region)	wn31-08960608-n
Flannery O'Connor	wn31-11231977-n
I. M. Pei	wn31-11248143-n
Bergen	wn31-08783148-n
David Livingstone	wn31-11155787-n
Ferdinand Magellan	wn31-11169006-n
Henry II of England	wn31-11060981-n
Greenwich	wn31-08894930-n
World Trade Center site	wn31-08597975-n
Mérida, Yucatán	wn31-08758200-n
Gabriel Lippmann	wn31-11154456-n
Mithridates VI of Pontus	wn31-11203377-n
Great Depression	wn31-14512945-n
André Maginot	wn31-11169233-n
Aberdeen, South Dakota	wn31-09162102-n
Seven Years' War	wn31-01310929-n
Republic of Ireland	wn31-08908903-n
County of Artois	wn31-08960443-n
George Pickett	wn31-11254462-n
North Dakota	wn31-09152115-n
Theodore Roosevelt	wn31-11289687-n
Blue Ridge Mountains	wn31-09247232-n
Battle of the Somme	wn31-01297864-n
Yom Kippur War	wn31-01305174-n
Grand Canyon	wn31-09313933-n
Canadian River	wn31-09254797-n
John Florio	wn31-10993714-n
Tuileries Palace	wn31-04503468-n
Erwin Rommel	wn31-11289505-n
Caligula	wn31-10899303-n
Baucis and Philemon	wn31-11252219-n
Archean	wn31-15154172-n
Third Battle of Panipat	wn31-01292490-n
İzmir	wn31-09064797-n
Louis the Pious	wn31-11159082-n
Giuseppe Garibaldi	wn31-11010959-n
Izanagi	wn31-09558112-n
Arabian Sea	wn31-09225283-n
Diamond Jim Brady	wn31-10880925-n
Raoul Dufy	wn31-10964460-n
Antonio da Correggio	wn31-10931831-n
Louisville, Kentucky	wn31-09112488-n
Mark Tobey	wn31-11364087-n
William Strickland (architect)	wn31-11342339-n
Kenneth Roberts (author)	wn31-11284333-n
Wichita, Kansas	wn31-09111547-n
Martha's Vineyard	wn31-09121080-n
Alvin Ailey	wn31-10830275-n
Edward Bouverie Pusey	wn31-11268987-n
Himalayas	wn31-09326553-n
Nepal	wn31-08926147-n
Igor Sikorsky	wn31-11320084-n
Susquehanna River	wn31-09475147-n
Nanda Devi	wn31-09388025-n
Benjamin Spock	wn31-11331618-n
Lombard Street, London	wn31-08614075-n
Sigrid Undset	wn31-11376178-n
Home counties	wn31-08894696-n
Fort Smith, Arkansas	wn31-09082346-n
Aengus	wn31-09531041-n
Walter William Skeat	wn31-11324349-n
Klaipėda	wn31-09036436-n
River Cam	wn31-09254494-n
Lesser Sunda Islands	wn31-08861575-n
Brahma	wn31-09548056-n
Monaco	wn31-08990219-n
Henri Becquerel	wn31-10860159-n
Chittagong	wn31-08868364-n
Chandi	wn31-09548621-n
Cape York Peninsula	wn31-09258151-n
Patroclus	wn31-09523530-n
Louis Leakey	wn31-11141630-n
Dodoma	wn31-09057628-n
Prometheus	wn31-09599080-n
Lowell Thomas	wn31-11359150-n
Independence, Missouri	wn31-09129392-n
Peter Minuit	wn31-11201428-n
Dominican Republic	wn31-08769854-n
Carina (constellation)	wn31-09258984-n
Piedmont	wn31-08827601-n
Helena, Montana	wn31-09131810-n
Spotsylvania County, Virginia	wn31-09175156-n
Gloucester	wn31-08900310-n
Nevado Sajama	wn31-09443151-n
Heimdallr	wn31-09603847-n
Thomas Carew	wn31-10902188-n
Croatia	wn31-08833710-n
Harold Harefoot	wn31-11049450-n
Pope Innocent XI	wn31-11092386-n
J. M. W. Turner	wn31-11372878-n
Titian	wn31-11363502-n
Charles the Bald	wn31-10912699-n
Pillars of Hercules	wn31-09415055-n
Panama Canal	wn31-03886731-n
Euphrates	wn31-09297645-n
Anne Hathaway	wn31-11054481-n
Van Allen radiation belt	wn31-08694498-n
Osaka	wn31-08943796-n
Tadeusz Reichstein	wn31-11277385-n
Marquis de Sade	wn31-11298110-n
Edward, the Black Prince	wn31-10969774-n
Arnhem	wn31-08970003-n
Caribbean Sea	wn31-09258801-n
Belfast	wn31-08908706-n
Joan of Arc	wn31-11101343-n
Monaco-City	wn31-08990476-n
Robert Venturi	wn31-11382880-n
Satyendra Nath Bose	wn31-10878173-n
Shylock	wn31-10561958-n
Judas Maccabeus	wn31-11113838-n
Tidewater region	wn31-09074354-n
Leon Trotsky	wn31-11369313-n
Ernest Lawrence	wn31-11140358-n
Cenozoic	wn31-15149313-n
South China Sea	wn31-09464011-n
Giza	wn31-08919376-n
Sint Eustatius	wn31-08767145-n
Bering Sea	wn31-09241689-n
Gloucester, Massachusetts	wn31-09119671-n
Sabah	wn31-08986934-n
Jacques-Germain Soufflot	wn31-11328872-n
Apus	wn31-09224592-n
Pinsk	wn31-09034190-n
Geoffrey of Monmouth	wn31-11014656-n
Spencer Tracy	wn31-11367514-n
Guangdong	wn31-08743169-n
Edvard Munch	wn31-11216198-n
Sodom and Gomorrah	wn31-08813826-n
Vienna	wn31-08865316-n
Moctezuma II	wn31-11207591-n
Bertram Brockhouse	wn31-10884727-n
Rock Springs, Wyoming	wn31-09182961-n
Siege of Orléans	wn31-01292323-n
Iapetus (mythology)	wn31-09598318-n
Virginia, Minnesota	wn31-09126411-n
Pope Leo X	wn31-11147742-n
John Henry (folklore)	wn31-09614624-n
Ptah	wn31-09536200-n
Mount Rainier National Park	wn31-08625308-n
Micah (prophet)	wn31-11198049-n
Antananarivo	wn31-08982238-n
Thelonious Monk	wn31-11205490-n
Ring Lardner, Jr.	wn31-11137734-n
New Ireland (island)	wn31-08864217-n
Odin	wn31-09606124-n
Gaul	wn31-08949495-n
Alice Paul	wn31-11246604-n
Mariehamn	wn31-08798572-n
Coahuila	wn31-08760836-n
Ragnar Frisch	wn31-11003003-n
Yangtze	wn31-09504653-n
Christiaan Eijkman	wn31-10974320-n
Karelia	wn31-08797682-n
Vilnius	wn31-09036643-n
Connecticut	wn31-09090929-n
Benny Goodman	wn31-11027328-n
Kra Isthmus	wn31-09343017-n
Francis Crick	wn31-10934925-n
Jules Maigret	wn31-09623938-n
Christopher Marlowe	wn31-11177709-n
Battle of Wagram	wn31-01301528-n
Constantine, Switzerland	wn31-08724637-n
Michelangelo	wn31-11198151-n
Shining Path	wn31-08061428-n
Josef von Sternberg	wn31-11389246-n
Ernst Heinrich Weber	wn31-11398249-n
Bethlehem	wn31-08813084-n
Kublai Khan	wn31-11132048-n
Hermosillo	wn31-08761390-n
Jean-Baptiste Donatien de Vimeur, comte de Rochambeau	wn31-11286693-n
Utrecht	wn31-08971051-n
Sea of Japan	wn31-09450914-n
Khepri	wn31-09535651-n
Gargantua and Pantagruel	wn31-09511578-n
Thalia (Muse)	wn31-09590309-n
Bursa	wn31-09064688-n
Mayflower	wn31-03738483-n
Vincenzo Bellini	wn31-10862519-n
Augustine of Hippo	wn31-10848177-n
Karl Adolph Gjellerup	wn31-11021563-n
First Amendment to the United States Constitution	wn31-06740783-n
Fausto Sozzini	wn31-11327257-n
Byzantine Empire	wn31-08818528-n
Lake Albert (Uganda)	wn31-09352967-n
Papua New Guinea	wn31-08863549-n
Chaim Weizmann	wn31-11400424-n
Inigo Jones	wn31-11110225-n
William Faulkner	wn31-10987625-n
Babylonia	wn31-08937276-n
Golden Gate Bridge	wn31-03449534-n
Agamemnon	wn31-09618080-n
Santa Fe, New Mexico	wn31-09138978-n
Príncipe	wn31-09015514-n
Neolithic	wn31-15258208-n
Jean-Honoré Fragonard	wn31-10997155-n
Inca Empire	wn31-08505843-n
Boann	wn31-09531500-n
Winslow Homer	wn31-11077543-n
Lake St. Clair	wn31-09355882-n
Battle of Navarino	wn31-01291288-n
Wimbledon, London	wn31-08897000-n
Limerick	wn31-08909884-n
Harare	wn31-09190298-n
Louis Armstrong	wn31-10842803-n
Harkat-ul-Jihad al-Islami	wn31-08039419-n
Pope Urban V	wn31-11376817-n
Fiji	wn31-08796449-n
John Updike	wn31-11376387-n
Andrew Dickson White	wn31-11403541-n
Gemara	wn31-06474326-n
Lassen Volcanic National Park	wn31-08624787-n
William Carlos Williams	wn31-11410053-n
Battle of Buena Vista	wn31-01275723-n
Hideki Tojo	wn31-11364728-n
Sikkim	wn31-08922758-n
Maimonides	wn31-11169985-n
Nat Turner	wn31-11373190-n
Gian Carlo Menotti	wn31-11194891-n
Pittsfield, Massachusetts	wn31-09120191-n
Dubuque, Iowa	wn31-09109677-n
New Jersey	wn31-09135395-n
Palau	wn31-09000318-n
Girolamo Savonarola	wn31-11302792-n
Kosovo	wn31-08834659-n
Seward Peninsula	wn31-09079300-n
Triton (moon)	wn31-09485361-n
Rudolf Serkin	wn31-11313324-n
Pearl Harbor	wn31-09103307-n
Greenwich Village	wn31-09145635-n
Transcaucasia	wn31-08537099-n
Damon and Pythias	wn31-09583555-n
Frances Willard (suffragist)	wn31-11408136-n
Akhenaten	wn31-10830527-n
Twin Falls (Idaho)	wn31-09487465-n
Rio de Janeiro	wn31-08875258-n
Apus (genus)	wn31-01835022-n
Frank Lloyd Wright	wn31-11418484-n
El Alamein	wn31-08919168-n
Gospel of Mark	wn31-06453473-n
Ernest Walton	wn31-11392891-n
Muncie, Indiana	wn31-09108512-n
Jesse James	wn31-11099534-n
Cheviot Hills	wn31-08814696-n
Waco, Texas	wn31-09169550-n
Samuel Beckett	wn31-10859950-n
Frisia	wn31-08971550-n
Battle of Zama	wn31-01303914-n
Te Deum	wn31-07051130-n
Accra	wn31-08966337-n
Hades	wn31-09593427-n
Dniprodzerzhynsk	wn31-09038909-n
Campeche	wn31-08758316-n
Weser	wn31-09500848-n
Frederick Douglass	wn31-10961507-n
Negeri Sembilan	wn31-08985666-n
Irenaeus	wn31-11093051-n
Mikhail Kalinin	wn31-11116023-n
Gerard Kuiper	wn31-11132618-n
Eugene V. Debs	wn31-10946181-n
Lemuel Gulliver	wn31-09622902-n
John Ford	wn31-10995300-n
Hyderabad	wn31-08924237-n
Bṛhaspati	wn31-09548200-n
Erik Satie	wn31-11302424-n
Broadway (Manhattan)	wn31-09144753-n
Battle of Midway	wn31-01290275-n
Carboniferous	wn31-15152259-n
Benjamin Thompson	wn31-11359664-n
One Thousand and One Nights	wn31-07236890-n
Age of Enlightenment	wn31-08489601-n
Erwin Panofsky	wn31-11241946-n
Southern Hemisphere	wn31-08670126-n
George Mason	wn31-11183150-n
Pierre Corneille	wn31-10930856-n
Book of Genesis	wn31-06444046-n
King Arthur's Round Table	wn31-04121648-n
Volcán de Fuego	wn31-09197805-n
Roanoke, Virginia	wn31-09174166-n
Fiji	wn31-08797001-n
Lemnos	wn31-08808600-n
Sergei Diaghilev	wn31-10953200-n
Hot Springs National Park	wn31-08623568-n
Hoover Dam	wn31-03540070-n
El Cid	wn31-08158092-n
Freetown	wn31-09019502-n
Habakkuk	wn31-11041096-n
Emily Dickinson	wn31-10954362-n
Dugald Stewart	wn31-11338034-n
Eugène Ionesco	wn31-11092877-n
Baldr	wn31-09602665-n
Ezra Pound	wn31-11264540-n
Seine	wn31-09452656-n
Puget Sound	wn31-09423542-n
Anthony Wayne	wn31-11397559-n
Communist Party of Ecuador–Red Sun	wn31-08056760-n
Robert Maynard Hutchins	wn31-11088912-n
Robert Bellarmine	wn31-10862326-n
Hugo Grotius	wn31-11037450-n
Molière	wn31-11204684-n
King James Version	wn31-06460765-n
Bloomington, Indiana	wn31-09107634-n
James Bond (literary character)	wn31-09613551-n
Thomas Gresham	wn31-11035416-n
The Internationale	wn31-07050514-n
Rube Goldberg	wn31-11024481-n
Democratic Front for the Liberation of Palestine	wn31-08036276-n
Book of Ezekiel	wn31-06450418-n
Virginia Woolf	wn31-11416662-n
Spanish Civil War, 1937	wn31-01311328-n
Jean-Philippe Rameau	wn31-11272905-n
Bayonne Bridge	wn31-02816224-n
USS Monitor	wn31-03787963-n
David Hilbert	wn31-11069830-n
Dalmatia (Roman province)	wn31-08837075-n
John Wesley	wn31-11401819-n
Franz Lehár	wn31-11145070-n
Iliad	wn31-06393695-n
Umbria	wn31-08830584-n
Magellanic Clouds	wn31-09368400-n
Peleus	wn31-09621444-n
Gila River	wn31-09311852-n
University of Sussex	wn31-04520078-n
William James	wn31-11099382-n
Precambrian	wn31-15153663-n
Gulf War	wn31-01292124-n
Alan Turing	wn31-11372493-n
Olympic National Park	wn31-08625714-n
Kahoolawe	wn31-09102272-n
Lake Constance	wn31-09275672-n
Hilaire Belloc	wn31-10862631-n
Ulysses S. Grant	wn31-11031119-n
Adirondack Mountains	wn31-09210820-n
Ramayana	wn31-06475694-n
Henry Morgan	wn31-11210764-n
Henry Penny	wn31-09614988-n
Ananias and Sapphira	wn31-09630085-n
Hermann Minkowski	wn31-11201245-n
Tropic of Cancer	wn31-08693276-n
Greenville, South Carolina	wn31-09161523-n
James E. Scripps	wn31-11310097-n
Knut Hamsun	wn31-11047290-n
Philippines	wn31-09002670-n
Corpus Christi, Texas	wn31-09166386-n
Saint Titus	wn31-11363993-n
USS Cole (DDG-67)	wn31-04523772-n
François de La Rochefoucauld (writer)	wn31-11137921-n
Hans Christian Andersen	wn31-10836706-n
San Joaquin River	wn31-09445629-n
Elizabeth Peabody	wn31-11247608-n
Georgia (U.S. state)	wn31-09098347-n
Redonda	wn31-08728052-n
Duluth, Minnesota	wn31-09125125-n
Helen of Troy	wn31-09623362-n
Jeddah	wn31-09017204-n
John Everett Millais	wn31-11199656-n
Atropos	wn31-09588916-n
Battle of Marengo	wn31-01289238-n
Olympia, Washington	wn31-09176763-n
Abu Dhabi	wn31-09067011-n
Aden-Abyan Islamic Army	wn31-08041865-n
Mary McCarthy (author)	wn31-11187782-n
Tunis	wn31-09060313-n
Marcus Whitman	wn31-11404750-n
Shiraz	wn31-08932052-n
Winston Churchill	wn31-10917064-n
Russian Revolution	wn31-01310245-n
Acadia	wn31-08840179-n
Roseau	wn31-08781220-n
Midwestern United States	wn31-08581836-n
Tanga, Tanzania	wn31-09058426-n
Niobrara River	wn31-09394727-n
Thomas Tallis	wn31-11349803-n
Richard Strauss	wn31-11341642-n
Mount Kilimanjaro	wn31-09348869-n
Douala	wn31-08735462-n
Rostock	wn31-08792537-n
Mark Clarke	wn31-10918681-n
Edward V of England	wn31-10971009-n
Magnificat	wn31-07050805-n
Cairo	wn31-08918860-n
United States Virgin Islands	wn31-08772836-n
Thomas Robert Malthus	wn31-11172846-n
Harlem	wn31-09144001-n
Piedmont, California	wn31-09074556-n
Eero Saarinen	wn31-11296961-n
Tanzania	wn31-09057025-n
Guayaquil	wn31-08794982-n
Al-Gama'a al-Islamiyya	wn31-08028760-n
Amsterdam	wn31-08969510-n
Prudhoe Bay, Alaska	wn31-09423212-n
Sumer	wn31-08938021-n
Colorado Plateau	wn31-09273071-n
Pierre Boulez	wn31-10878965-n
Sparta	wn31-08805092-n
Korea Strait	wn31-09350267-n
Vistula	wn31-09495265-n
Great Britain	wn31-08877934-n
South Africa	wn31-09021852-n
Anaxagoras	wn31-10836028-n
Stanford White	wn31-11403912-n
Ian Wilmut	wn31-11410687-n
Carson City, Nevada	wn31-09133423-n
Marie Tussaud	wn31-11373505-n
Taiwan	wn31-08748187-n
Murray River (Western Australia)	wn31-09386317-n
John Hasbrouck Van Vleck	wn31-11380170-n
Mozambique	wn31-08993376-n
Edward W. Morley	wn31-11211241-n
Franz Kafka	wn31-11115721-n
Villa Hermosa	wn31-08764469-n
Bram Stoker	wn31-11338819-n
Viña del Mar	wn31-08740103-n
Vladimir Putin	wn31-11269312-n
Namtar	wn31-09543036-n
Alfred Wegener	wn31-11399531-n
James Farmer	wn31-10986657-n
Monte Carlo	wn31-08990576-n
Min (god)	wn31-09535746-n
Theseus	wn31-09616590-n
Jack Benny	wn31-10865020-n
Isaac Watts	wn31-11397038-n
Melpomene	wn31-09589920-n
Joan Miró	wn31-11201825-n
Aosta Valley	wn31-08830694-n
Pierre Laporte Bridge	wn31-03940692-n
William Inge	wn31-11091564-n
Rasht	wn31-08931926-n
Pee Dee River	wn31-09411211-n
Solent	wn31-09462783-n
Hannibal	wn31-11048192-n
Russel Crouse	wn31-10936639-n
Plzeň	wn31-08775624-n
Shamash	wn31-09544898-n
Bob Marley	wn31-11177570-n
Benoit Mandelbrot	wn31-11173446-n
Cork (city)	wn31-08909627-n
E. B. White	wn31-11403762-n
Nestor (mythology)	wn31-01821345-n
Gomel	wn31-09034049-n
Hart Crane	wn31-10934083-n
Chester A. Arthur	wn31-10844784-n
Ed Sullivan	wn31-11344614-n
Sebastian Cabot (explorer)	wn31-10897593-n
Berkeley, California	wn31-09085055-n
Malay Peninsula	wn31-08984548-n
Tancred, Prince of Galilee	wn31-11350341-n
David Rittenhouse	wn31-11283327-n
Quentin Tarantino	wn31-11351295-n
H. G. Wells	wn31-11401188-n
John Howard Northrop	wn31-11229980-n
Wallace Carothers	wn31-10903285-n
Robert B. Sherman	wn31-11213635-n
Celestial pole	wn31-08629089-n
Penelope	wn31-09616318-n
Louis Agassiz	wn31-10828921-n
Nunc dimittis	wn31-06468312-n
Jacques Tati	wn31-11352567-n
Rosetta Stone	wn31-06417534-n
Frederick Loewe	wn31-11157324-n
Guiana Shield	wn31-09184408-n
Battle of Langside	wn31-01285882-n
Crete	wn31-08802185-n
Annie Oakley	wn31-11230796-n
Chaim Soutine	wn31-11329313-n
Battle of Ipsus	wn31-01283920-n
Homer	wn31-11077376-n
Acapulco	wn31-08760038-n
Newport, Wales	wn31-08915724-n
Willis Tower	wn31-04168163-n
Ankara	wn31-09063076-n
Paul Tillich	wn31-11362613-n
Agrippina the Elder	wn31-10829650-n
Liaodong Peninsula	wn31-09361816-n
Josephus	wn31-11112282-n
Joseph Fourier	wn31-10996464-n
Green Bay, Wisconsin	wn31-09180552-n
Petersburg, Virginia	wn31-09174973-n
Suez Canal	wn31-08920604-n
Charles Fourier	wn31-10996252-n
Arnold of Brescia	wn31-10843498-n
War Admiral	wn31-02386564-n
Thomas Jefferson	wn31-11101818-n
Battle of Spotsylvania Court House	wn31-01298409-n
Battle of Chapultepec	wn31-01277635-n
Elam	wn31-08933015-n
Drogheda	wn31-01280248-n
Robert Mitchum	wn31-11202956-n
Jerez de la Frontera	wn31-09048574-n
Perry Mason	wn31-09625890-n
Vancouver	wn31-08842472-n
Dorothea Lange	wn31-11136456-n
Great Salt Lake	wn31-09316519-n
Jammu and Kashmir	wn31-08997987-n
Grus (genus)	wn31-02015688-n
Tom Wolfe	wn31-11414652-n
André Gide	wn31-11018647-n
Sarpedon	wn31-09524659-n
Friedrich Bessel	wn31-10869221-n
Iðunn	wn31-09604512-n
Vitus	wn31-11387720-n
Jocasta	wn31-09619907-n
Carl Orff	wn31-11236376-n
Serengeti	wn31-09058573-n
Houston	wn31-09167588-n
Thomas Nelson Page	wn31-11239982-n
Harry Stack Sullivan	wn31-11344780-n
Cape Sable Island	wn31-09257663-n
Meyer Guggenheim	wn31-11038858-n
Appian Way	wn31-02732004-n
Appleton, Wisconsin	wn31-09180341-n
Sevastopol	wn31-09039538-n
Joseph Henry	wn31-11060236-n
Strait of Magellan	wn31-09469970-n
John Browning	wn31-10886825-n
Osama bin Laden	wn31-10871048-n
Cartagena, Spain	wn31-09047954-n
Aeneid	wn31-06391678-n
Six-Day War	wn31-01304940-n
Parnaíba	wn31-09408309-n
Igor Tamm	wn31-11350223-n
Edward R. Murrow	wn31-11217733-n
Maurice Wilkins	wn31-11407357-n
Atlantic Ocean	wn31-09232170-n
Wuhan	wn31-08747116-n
George H. Hitchings	wn31-11072493-n
Mary Livermore	wn31-11155478-n
Montana	wn31-09130786-n
Pall Mall, London	wn31-08896366-n
Dorothy Hodgkin	wn31-11073812-n
Deneb	wn31-09288298-n
Styx	wn31-09472922-n
Jean-Paul Sartre	wn31-11302276-n
Lancelot	wn31-11135283-n
Lake Powell	wn31-03639760-n
Braxton Bragg	wn31-10881337-n
Kauai	wn31-09102400-n
Ely Culbertson	wn31-10936745-n
Saul Bellow	wn31-10862824-n
Moscow	wn31-09026438-n
John Scott Haldane	wn31-11042844-n
Frédéric Joliot-Curie	wn31-11108959-n
George Huntington	wn31-11087594-n
Robert Walpole	wn31-11392367-n
Ingrid Bergman	wn31-10865996-n
Paul Revere	wn31-11278491-n
Port Sudan	wn31-09052837-n
Bloemfontein	wn31-09024695-n
South Carolina	wn31-09160577-n
Laptev Sea	wn31-09358958-n
Bluegrass region	wn31-09112954-n
Interlaken	wn31-09055318-n
Paul Broca	wn31-10884454-n
Oxford, Mississippi	wn31-09100192-n
Mauna Loa	wn31-09199505-n
Adana	wn31-09062950-n
Big Sur	wn31-09189549-n
Battle of Okinawa	wn31-01291554-n
Latin America	wn31-09045201-n
Saudi Arabia	wn31-09015658-n
Ernst Lubitsch	wn31-11163321-n
Kangchenjunga	wn31-09346127-n
Pablo Casals	wn31-10905583-n
Islamabad	wn31-08999405-n
William Dean Howells	wn31-11083056-n
Edward the Martyr	wn31-10972621-n
Hegira	wn31-00061368-n
Memphis, Egypt	wn31-08919578-n
St. Louis	wn31-09130248-n
Mammoth Cave National Park	wn31-08624964-n
James Paget	wn31-11240309-n
Jacksonville, Florida	wn31-09095763-n
Texarkana, Texas	wn31-09169188-n
Johnny Appleseed	wn31-10910620-n
Richard Lovelace	wn31-11161872-n
Nikolai Gogol	wn31-11024329-n
Bend, Oregon	wn31-09156059-n
Anne, Queen of Great Britian	wn31-10838073-n
Kach and Kahane Chai	wn31-08045150-n
Revolutionary United Front	wn31-08060600-n
South Yorkshire	wn31-08905858-n
Brynhildr	wn31-09613669-n
Chemnitz	wn31-08788351-n
Victor Emmanuel II of Italy	wn31-11385511-n
Prince Edward Island	wn31-08847742-n
Frederick, Maryland	wn31-09117375-n
Book of Numbers	wn31-06444919-n
Dietrich Bonhoeffer	wn31-10875811-n
Pied Piper of Hamelin	wn31-09626138-n
Armata Corsa	wn31-08032484-n
Gerard Manley Hopkins	wn31-11079767-n
Galatia (Roman province)	wn31-08719110-n
John Herschel	wn31-11066164-n
Maldive Islands	wn31-08987406-n
Battle of Puebla	wn31-01294693-n
Sojourner Truth	wn31-11370700-n
John Millington Synge	wn31-11347739-n
Las Vegas	wn31-09133578-n
Tanganyika	wn31-09057780-n
Pandora	wn31-09601426-n
Henry Fielding	wn31-10990595-n
Cesare Borgia	wn31-10877445-n
Mesopotamia	wn31-08936089-n
William III of England	wn31-11408998-n
Hunan	wn31-08743905-n
New Jersey	wn31-09134928-n
Puerto Rico	wn31-08770807-n
Cape Horn	wn31-08740478-n
Padua	wn31-08831008-n
Mr. Moto	wn31-09625336-n
Windward Islands	wn31-08767697-n
Asaph Hall	wn31-11044415-n
John F. Kennedy International Airport	wn31-09147066-n
Alfred Noyes	wn31-11230281-n
Harley Granville-Barker	wn31-11031760-n
Rutherford B. Hayes	wn31-11056136-n
Antakya	wn31-09063473-n
Bret Harte	wn31-11052836-n
Andrew Mellon	wn31-11192599-n
Casablanca	wn31-08992149-n
Townsend Harris	wn31-11050851-n
George Gamow	wn31-11009095-n
Amaethon	wn31-09530771-n
USS Merrimack (1855)	wn31-03756239-n
Sennacherib	wn31-11312799-n
Tropics	wn31-08683019-n
C. S. Lewis	wn31-11150281-n
John the Evangelist	wn31-11105914-n
George Meredith	wn31-11195865-n
Jean-Baptiste Lully	wn31-11164850-n
Greek War of Independence	wn31-01312565-n
Elizabeth I of England	wn31-10977322-n
Pamir Mountains	wn31-09407116-n
Bronx–Whitestone Bridge	wn31-02909352-n
Grand Teton	wn31-09314246-n
Phanerozoic	wn31-15149100-n
Saint David	wn31-10943983-n
Gideon Mantell	wn31-11175003-n
Canadian Arctic Archipelago	wn31-08844979-n
Dasht-e Lut	wn31-09192085-n
Aleutian Islands	wn31-08854667-n
Charles Henry Harrod	wn31-11052154-n
White River (Arkansas)	wn31-09501485-n
Wrocław	wn31-09006702-n
Charles Digby Harrod	wn31-11052355-n
Springfield, Massachusetts	wn31-09120299-n
Vittorio De Sica	wn31-10951891-n
Atharvaveda	wn31-06476925-n
Walter Gropius	wn31-11037291-n
Kisumu	wn31-08948515-n
Upton Sinclair	wn31-11322444-n
Meryl Streep	wn31-11342063-n
Wallace Stevens	wn31-11337411-n
William Dawes	wn31-10945336-n
Hugo Junkers	wn31-11114770-n
Anjou	wn31-08960144-n
Hugh Dowding, 1st Baron Dowding	wn31-10961706-n
10 Downing Street	wn31-08896199-n
Yale University	wn31-04617725-n
Gunnar Myrdal	wn31-11218851-n
Singapore	wn31-09020171-n
Epistle to Philemon	wn31-06457887-n
Corsica	wn31-08961864-n
Hebe (mythology)	wn31-09584069-n
Gulf of Aqaba	wn31-09320146-n
Hiram Maxim	wn31-11186050-n
Indira Gandhi	wn31-11009606-n
Parkersburg, West Virginia	wn31-09179660-n
Salmon River (Idaho)	wn31-09443301-n
Guallatiri, Chile	wn31-09198356-n
Hangzhou	wn31-08745439-n
